ID,Field,Temperature,Weight,Length,date,time,order,Density,PatchNum,CumDist_Below_30_sec,CumDist_Below_60_sec,CumDist_Below_90_sec,CumDist_Below_120_sec,CumDist_Below_180_sec,CumDist_Below_240_sec,CumDist_Below_300_sec,CumTotalDist,TimeToGlassCutoff,ReachGlass,Azimuth,StartDoEnd,StartToFurthest,Straightness
1,0,27.2,6.27,65,28/05/2024,12:43:00,4,1,1,51.985,51.985,51.985,51.985,51.985,51.985,51.985,51.985,9.04,Yes,294.0738861,80.99080948,80.99080948,0.250679572
1,1,25.4,6.27,65,28/05/2024,12:22:00,2,1,1,56.906,56.906,56.906,56.906,56.906,56.906,56.906,56.906,9,Yes,148.4604463,16.88850511,26.73384181,0.238875603
2,0,31.9,4.52,49,28/05/2024,13:26:00,8,1,1,22.836,42.86,61.568,86.627,119.225,119.225,119.225,119.225,145,No,273.9099838,33.03351507,33.03351507,0.112964059
2,1,28.3,4.52,49,28/05/2024,13:06:00,6,1,1,33.503,69.627,105.439,162.697,204.464,204.464,204.464,204.464,145,Yes,294.0726193,57.69473984,62.94757925,0.172791511
3,0,24.7,3.4,44,28/05/2024,12:57:00,5,1,1,43.755,118.246,133.989,133.989,133.989,133.989,133.989,133.989,69,Yes,235.588439,61.44595907,79.93686437,0.134569304
3,1,26.2,3.4,44,28/05/2024,13:17:00,7,1,1,67.049,152.487,173.397,173.397,173.397,173.397,173.397,173.397,69.16,Yes,289.6111104,99.94867926,101.2585497,0.221746975
4,0,27.8,3.9,53,28/05/2024,12:12:00,1,1,1,9.96,11.06,11.06,11.06,11.06,11.06,11.06,11.06,31,Yes,266.4460796,63.90112612,66.86234207,0.208519881
4,1,30.8,3.9,53,28/05/2024,12:31:00,3,1,1,92.362,94.439,94.439,94.439,94.439,94.439,94.439,94.439,31,Yes,353.0639328,6.867391751,9.917473976,0.060567556
6,0,25.8,3.37,65,29/05/2024,10:03:00,1,1,1,25.844,94.541,142.626,142.626,142.626,142.626,142.626,142.626,79,Yes,186.1049388,10.33709543,19.24749539,0.051671009
6,1,30,3.37,65,29/05/2024,10:27:00,2,1,1,26.799,78.287,110.478,110.478,110.478,110.478,110.478,110.478,79,Yes,316.5367561,68.77968559,80.51067816,0.310796994
7,0,28.4,5.61,72,29/05/2024,11:45:00,5,1,1,17.088,44.604,44.604,44.604,44.604,44.604,44.604,44.604,38,Yes,295.5629001,94.36118973,94.36118973,0.257421479
7,1,25.6,5.61,72,29/05/2024,11:27:00,3,1,1,71.286,86.224,86.224,86.224,86.224,86.224,86.224,86.224,36,Yes,275.9468847,88.73511353,88.73511353,0.578101512
8,0,26.8,2.9,27,29/05/2024,11:36:00,4,1,1,20.19,60.167,83.921,83.921,83.921,83.921,83.921,83.921,75,Yes,350.9839493,10.61081878,14.25789863,0.119480439
8,1,30,2.9,27,29/05/2024,11:55:00,6,1,1,60.45,101.471,131.68,131.68,131.68,131.68,131.68,131.68,75,Yes,21.10393128,19.34442304,31.4534406,0.088981196
