ID,Field,Temperature,Weight,Length,date,time,order,Density,PatchNum,CumDist_Below_30_sec,CumDist_Below_60_sec,CumDist_Below_90_sec,CumDist_Below_120_sec,CumDist_Below_180_sec,CumDist_Below_240_sec,CumDist_Below_300_sec,CumTotalDist,TimeToGlassCutoff,ReachGlass
11B,1,37,4.06,58,23/07/2024,12:07:00,21,3,700,64.128,107.5,107.5,107.5,107.5,107.5,107.5,107.5,53,Yes
11B,2,37,4.06,58,23/07/2024,12:27:00,23,3,700,25.505,74.012,94.705,94.705,94.705,94.705,94.705,94.705,68,Yes
12B,1,37,2.43,45,23/07/2024,12:30:00,24,3,700,21.307,81.238,113.298,113.298,113.298,113.298,113.298,113.298,83,Yes
12B,2,37,2.43,45,23/07/2024,12:21:00,22,3,700,39.706,78.186,116.835,164.218,218.485,218.485,218.485,218.485,175,Yes
13B,1,30,3.16,51,23/07/2024,13:18:00,25,3,700,19.437,80.224,111.465,161.449,239.457,239.457,239.457,239.457,180,Yes
13B,2,35,3.16,51,23/07/2024,13:34:00,27,3,700,75.019,78.195,78.195,78.195,78.195,78.195,78.195,78.195,34,Yes
14B,1,37,2.37,49,23/07/2024,13:36:00,28,3,700,38.274,80.662,143.506,218.906,316.418,440.727,541.139,544.535,301,No
14B,2,33,2.37,49,23/07/2024,13:26:00,26,3,700,47.767,81.285,153.681,230.858,359.259,501.326,601.202,601.202,300,No
15B,1,28,2.01,60,23/07/2024,15:07:00,29,3,700,61.65,113.647,158.708,195.586,286.334,292.903,292.903,292.903,183,Yes
15B,2,32,2.01,60,23/07/2024,15:22:00,31,3,700,62.478,115.317,144.612,144.612,144.612,144.612,144.612,144.612,69,Yes
16B,1,32,2.7,50,23/07/2024,15:24:00,32,3,700,36.717,103.471,168.496,203.214,322.838,367.964,468.656,468.656,300,Yes
16B,2,32,2.7,50,23/07/2024,15:14:00,30,3,700,84.274,196.532,275.244,341.613,463.867,647.105,804.089,804.089,300,No
19B,1,21,3.19,50,24/07/2024,07:44:00,1,3,700,61.098,97.073,165.179,250.022,434.125,514.592,603.832,603.832,299.16,No
19B,2,25,3.19,50,24/07/2024,07:58:00,3,3,700,83.912,170.618,243.285,291.063,318.586,318.586,318.586,318.586,139,Yes
1B,1,23,2.56,48,23/07/2024,09:21:00,1,3,700,68.993,116.598,161.828,172.95,343.971,486.245,656.799,657.287,301,Yes
1B,2,30,2.56,48,23/07/2024,09:40:00,3,3,700,20.4,46.349,67.736,93.01,153.715,250.472,272.517,272.517,255,Yes
21B,1,25,3.58,51,24/07/2024,08:07:00,5,3,700,108.266,184.307,262.408,313.685,342.873,342.873,342.873,342.873,134,Yes
21B,2,26,3.58,51,24/07/2024,08:21:00,7,3,700,48.034,143.977,227.245,244.33,244.33,244.33,244.33,244.33,98,Yes
22B,1,27,3,54,24/07/2024,08:24:00,8,3,700,67.225,88.373,138.924,198.738,225.401,225.401,225.401,225.401,137,Yes
22B,2,27,3,54,24/07/2024,08:14:00,6,3,700,22.388,79.823,129.724,190.405,306.001,319.042,319.042,319.042,184,Yes
23B,1,29,2.84,49,24/07/2024,08:28:00,9,3,700,69.281,107.347,162.91,229.804,229.804,229.804,229.804,229.804,117,Yes
23B,2,30,2.84,49,24/07/2024,08:42:00,11,3,700,5.627,40.87,106.868,167.848,202.431,202.431,202.431,202.431,141.88,Yes
24B,1,31,4.04,68,24/07/2024,08:45:00,12,3,700,66.639,117.708,117.708,117.708,117.708,117.708,117.708,117.708,60,Yes
24B,2,30,4.04,68,24/07/2024,08:35:00,10,3,700,88.357,186.362,272.364,296.905,296.905,296.905,296.905,296.905,103,Yes
25B,1,25,2.68,47,24/07/2024,09:04:00,13,3,700,65.894,77.452,94.186,162.836,223.032,336.102,561.211,561.211,300,No
25B,2,29,2.68,47,24/07/2024,09:18:00,15,3,700,5.059,8.224,18.697,20.804,57.181,142.3,295.418,295.418,300,No
26B,1,31,2.14,37,24/07/2024,09:25:00,16,3,700,14.889,46.369,93.844,101.677,101.677,101.677,101.677,101.677,97,Yes
26B,2,27,2.14,37,24/07/2024,09:11:00,14,3,700,44.048,83.71,112.329,132.926,135.431,135.431,135.431,135.431,126,Yes
27B,1,32,3.24,66,24/07/2024,09:28:00,17,3,700,40.506,69.074,114.753,149.878,189.766,189.766,189.766,189.766,155,Yes
27B,2,34,3.24,66,24/07/2024,09:42:00,19,3,700,57.81,143.299,230.802,263.511,328.219,426.231,460.967,460.967,260,Yes
28B,1,34,2.94,53,24/07/2024,09:47:00,20,3,700,27.687,48.938,91.083,123.2,125.261,125.261,125.261,125.261,124,Yes
28B,2,34,2.94,53,24/07/2024,09:35:00,18,3,700,24.426,37.76,76.902,111.14,162.234,219.831,300.967,301.405,301,Yes
29B,1,35,2.5,52,24/07/2024,09:52:00,21,3,700,70.033,92.867,92.867,92.867,92.867,92.867,92.867,92.867,47,No
29B,2,35,2.5,52,24/07/2024,10:06:00,23,3,700,60.812,98.747,144.533,195.263,290.751,345.986,345.986,345.986,209,Yes
2B,1,28,3.53,48,23/07/2024,09:30:00,2,3,700,55.431,143.14,216.541,327.586,570.216,757.974,1111.833,1111.833,300,No
2B,2,31,3.53,48,23/07/2024,09:47:00,4,3,700,59.278,115.336,115.336,115.336,115.336,115.336,115.336,115.336,47,Yes
30B,1,36,2.71,58,24/07/2024,10:12:00,24,3,700,66.722,85.467,85.467,85.467,85.467,85.467,85.467,85.467,41,Yes
30B,2,36,2.71,58,24/07/2024,09:59:00,22,3,700,60.313,96.257,103.644,103.644,103.644,103.644,103.644,103.644,65,Yes
4B,1,33,3.8,56,23/07/2024,10:14:00,8,3,700,84.001,105.218,105.218,105.218,105.218,105.218,105.218,105.218,39,Yes
4B,2,30,3.8,56,23/07/2024,10:03:00,6,3,700,86.597,142.032,142.032,142.032,142.032,142.032,142.032,142.032,50,Yes
5B,1,32,2.14,41,23/07/2024,10:17:00,9,3,700,60.016,116.138,172.193,225.511,283.018,283.018,283.018,283.018,147,Yes
5B,2,35,2.14,41,23/07/2024,10:32:00,11,3,700,54.374,99.983,99.983,99.983,99.983,99.983,99.983,99.983,53,Yes
6B,1,35,2.6,49,23/07/2024,10:35:00,12,3,700,31.054,83.811,105.352,105.352,105.352,105.352,105.352,105.352,75,No
6B,2,34,2.6,49,23/07/2024,10:25:00,10,3,700,36.835,103.046,157.789,203.555,309.597,407.672,526.496,526.496,300,Yes
7B,1,29,2.32,42,23/07/2024,11:15:00,13,3,700,54.953,107.75,181.795,199.569,199.569,199.569,199.569,199.569,108,Yes
7B,2,33,2.32,42,23/07/2024,11:29:00,15,3,700,61.306,107.614,107.614,107.614,107.614,107.614,107.614,107.614,58,Yes
8B,1,34,2.33,57,23/07/2024,11:32:00,16,3,700,49.696,132.476,203.179,298.609,298.609,298.609,298.609,298.609,113,Yes
